dmf,therapeutic_class,country,year
MF 034335,,India,2019
MF 018394,,India,2005
MF 032663,Antibacterials,India,2018
MF 019458,Antibacterials,India,2006
MF 016922,Antibacterials,India,2003
MF 015672,Antibacterials,Spain,2001
MF 025931,,Italy,2012
MF 023813,,India,2010
MF 020439,Genitourinary Agents,India,2007
MF 025633,,India,2012
MF 027797,,India,2013
MF 015612,Blood Glucose Regulators,India,2001
MF 033876,,China,2019
MF 016625,Blood Glucose Regulators,India,2003
MF 025937,,Ireland,2012
MF 032884,,Italy,2018
MF 033756,Anticonvulsants,India,2019
MF 032016,,India,2017
MF 036048,,India,2021
MF 028355,Antibacterials,Denmark,2014
MF 028355,Otic Agents,Denmark,2014
MF 027733,Inflammatory Bowel Disease Agents,China,2013
MF 022142,,India,2008
MF 031560,,United States,2017
MF 022863,,India,2009
MF 030825,Antiparasitics,China,2016
MF 033839,Antibacterials,Finland,2019
MF 017905,Antivirals,India,2004
MF 020465,Anxiolytics,Taiwan,2007
MF 023631,Antineoplastics,United States,2010
MF 017561,,Italy,2004
MF 032993,Antibacterials,India,2018
MF 031163,Sexual Disorder Agents,Sweden,2018
MF 033900,,India,2019
MF 032721,Anticonvulsants,India,2018
MF 017860,Central Nervous System Agents,Germany,2004
MF 023520,Skeletal Muscle Relaxants,United States,2010
MF 023520,,United States,2010
MF 016399,Skeletal Muscle Relaxants,United States,2003
MF 020975,Skeletal Muscle Relaxants,United States,2007
MF 028736,,China,2014
MF 017746,,Italy,2004
MF 026719,,India,2013
MF 026824,,Canada,2013
MF 019601,,Germany,2006
MF 029493,Antiparasitics,India,2015
MF 019014,,India,2005
MF 019083,,India,2005
MF 021133,,India,2007
MF 017652,Respiratory Tract/Pulmonary Agents,India,2004
MF 019734,,China,2006
MF 035813,,India,2021
MF 025856,Blood Products and Modifiers,United States,2012
MF 025856,Antiemetics,United States,2012
MF 025856,,United States,2012
MF 020213,Skeletal Muscle Relaxants,United States,2007
MF 020213,Analgesics,United States,2007
MF 020787,Skeletal Muscle Relaxants,United States,2007
MF 020787,Cardiovascular Agents,United States,2007
MF 034883,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Netherlands,2020
MF 031317,,China,2017
MF 025321,Antidementia Agents,India,2011
MF 026723,,India,2013
MF 034214,,France,2019
MF 015986,Blood Products and Modifiers,United States,2002
MF 021935,Antineoplastics,India,2008
MF 034354,,India,2020
MF 030654,,India,2016
MF 035152,,China,2020
MF 030554,,Mexico,2016
MF 016904,Ophthalmic Agents,India,2003
MF 019769,Gastrointestinal Agents,China,2006
MF 027380,,Mexico,2013
MF 035197,,India,2020
MF 026632,Respiratory Tract/Pulmonary Agents,India,2013
MF 030651,Antineoplastics,United Kingdom,2016
MF 026103,Antiparasitics,Israel,2012
MF 036546,,Taiwan,2021
MF 035253,,India,2020
MF 032782,,China,2018
MF 035645,,United States,2021
MF 032289,,United States,2018
MF 035953,Antiparkinson Agents,India,2021
MF 035174,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2020
MF 024052,Cardiovascular Agents,India,2010
MF 028354,Antidepressants,India,2014
MF 028072,Antidepressants,India,2014
MF 033654,Antidepressants,India,2019
MF 034307,Inflammatory Bowel Disease Agents,India,2020
MF 034307,Dental and Oral Agents,India,2020
MF 019531,Dental and Oral Agents,Sweden,2006
MF 028784,Otic Agents,India,2014
MF 028784,Respiratory Tract/Pulmonary Agents,India,2014
MF 028784,Gastrointestinal Agents,India,2014
MF 029331,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Switzerland,2017
MF 018727,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Jordan,2005
MF 021326,Respiratory Tract/Pulmonary Agents,China,2008
MF 030061,Inflammatory Bowel Disease Agents,India,2015
MF 030061,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2015
MF 031123,,India,2016
MF 028840,Antiparkinson Agents,United States,2015
MF 024177,,India,2010
MF 023598,,China,2010
MF 019440,Sleep Disorder Agents,India,2006
MF 018164,Sleep Disorder Agents,India,2005
MF 018430,Sleep Disorder Agents,India,2005
MF 017098,Sleep Disorder Agents,Italy,2003
MF 021984,,China,2008
MF 033949,Antipsychotics,India,2019
MF 035366,Antipsychotics,India,2020
MF 033371,Antipsychotics,India,2018
MF 018557,,Austria,2005
MF 017845,,China,2004
MF 033526,,Spain,2019
MF 022319,Respiratory Tract/Pulmonary Agents,Italy,2008
MF 015187,Respiratory Tract/Pulmonary Agents,Israel,2000
MF 021334,Respiratory Tract/Pulmonary Agents,India,2008
MF 021068,Anticonvulsants,India,2007
MF 036205,Dermatological Agents,India,2021
MF 018398,Dermatological Agents,Japan,2005
MF 015440,Respiratory Tract/Pulmonary Agents,Germany,2001
MF 015361,Dermatological Agents,Hungary,2001
MF 029989,Electrolytes/Minerals/Metals/Vitamins,Czech Republic,2015
MF 026223,,China,2012
MF 022681,,United States,2009
MF 026417,Antigout Agents,India,2012
MF 025761,Antigout Agents,India,2012
MF 035578,Antigout Agents,India,2021
MF 026071,Antigout Agents,India,2012
MF 033210,Metabolic Bone Disease Agents,Taiwan,2019
MF 033079,Metabolic Bone Disease Agents,India,2018
MF 032144,Metabolic Bone Disease Agents,China,2019
MF 014947,Gastrointestinal Agents,Italy,2000
MF 026580,,India,2012
MF 023886,,Italy,2010
MF 023876,Otic Agents,Slovakia,2010
MF 023876,Inflammatory Bowel Disease Agents,Slovakia,2010
MF 035892,Dermatological Agents,China,2021
MF 035892,Ophthalmic Agents,China,2021
MF 034379,Electrolytes/Minerals/Metals/Vitamins,India,2019
MF 034799,,India,2020
MF 022871,,India,2009
MF 035282,,India,2020
MF 023627,Antimigraine Agents,India,2010
MF 020639,Antimigraine Agents,India,2007
MF 027502,Antimigraine Agents,India,2013
MF 030814,Antidepressants,India,2016
MF 029407,Anticonvulsants,India,2015
MF 030875,Anticonvulsants,India,2016
MF 028750,Anesthetics,India,2014
MF 028496,,China,2015
MF 033899,,India,2019
MF 032899,,India,2018
MF 035032,,India,2020
MF 036410,,India,2021
MF 027795,,India,2013
MF 034717,,India,2020
MF 034975,,China,2020
MF 019186,Gastrointestinal Agents,India,2006
MF 027403,Gastrointestinal Agents,India,2013
MF 025906,,United States,2012
MF 026052,Anti-addiction/Substance Abuse Treatment Agents,Switzerland,2012
MF 025005,Anticonvulsants,China,2011
MF 026500,Anticonvulsants,India,2012
MF 034097,Anticonvulsants,India,2019
MF 034593,Anticonvulsants,India,2020
MF 035806,Central Nervous System Agents,India,2021
MF 035409,,India,2020
MF 035514,,China,2021
MF 030012,,India,2015
MF 023044,,Italy,2009
MF 022510,Ophthalmic Agents,India,2009
MF 022230,Dermatological Agents,India,2008
MF 025259,Dermatological Agents,India,2011
MF 015601,Ophthalmic Agents,Spain,2001
MF 015601,,Spain,2001
MF 025051,Dermatological Agents,India,2011
MF 025051,Ophthalmic Agents,India,2011
MF 033522,Central Nervous System Agents,India,2019
MF 024700,Central Nervous System Agents,India,2011
MF 028123,Central Nervous System Agents,India,2014
MF 031929,Central Nervous System Agents,India,2017
MF 026317,Anticonvulsants,India,2012
MF 030966,,India,2016
MF 029271,Antiparasitics,China,2015
MF 029745,Blood Products and Modifiers,India,2015
MF 031577,Antifungals,India,2017
MF 033502,Genitourinary Agents,China,2019
MF 033502,Respiratory Tract/Pulmonary Agents,China,2019
MF 024590,Respiratory Tract/Pulmonary Agents,Poland,2011
MF 027246,Sexual Disorder Agents,India,2013
MF 022530,Sexual Disorder Agents,India,2009
MF 022530,Respiratory Tract/Pulmonary Agents,India,2009
MF 020962,Genitourinary Agents,India,2007
MF 030860,Respiratory Tract/Pulmonary Agents,China,2016
MF 026139,Genitourinary Agents,India,2013
MF 023015,Cardiovascular Agents,India,2009
MF 031195,,Spain,2017
MF 016950,Antimycobacterials,Spain,2003
MF 032811,Gastrointestinal Agents,China,2018
MF 025161,Dermatological Agents,France,2011
MF 036385,Immunological Agents,Italy,2021
MF 017037,Analgesics,India,2004
MF 021805,Analgesics,China,2008
MF 014767,Ophthalmic Agents,Spain,2000
MF 014767,Antibacterials,Spain,2000
MF 015433,Antibacterials,India,2001
MF 032147,,India,2017
MF 018401,,India,2005
MF 014813,Inflammatory Bowel Disease Agents,Romania,2000
MF 031622,Cardiovascular Agents,India,2017
MF 017968,Antivirals,India,2004
MF 020107,Antivirals,India,2007
MF 034977,Contraceptives,China,2020
MF 027980,,France,2014
MF 032294,Antineoplastics,India,2017
MF 020833,,India,2007
MF 019572,,Israel,2006
MF 018980,Antidepressants,India,2005
MF 021768,,Switzerland,2008
MF 015770,,Spain,2001
MF 025700,,Taiwan,2012
MF 025765,,India,2012
MF 031431,Dermatological Agents,India,2017
MF 032083,Dermatological Agents,Israel,2018
MF 016963,Antipsychotics,India,2003
MF 025605,Antipsychotics,China,2011
MF 021446,Bipolar Agents,India,2008
MF 020518,Bipolar Agents,China,2007
MF 018257,Antipsychotics,Spain,2005
MF 031336,,India,2017
MF 030338,,China,2016
MF 029616,,Taiwan,2015
MF 035794,Anxiolytics,India,2021
MF 032458,,India,2018
MF 022420,Cardiovascular Agents,United States,2009
MF 019763,Ophthalmic Agents,India,2006
MF 032771,Blood Glucose Regulators,China,2018
MF 026676,,Spain,2012
MF 023630,Cardiovascular Agents,India,2010
MF 023630,Antimigraine Agents,India,2010
MF 029328,Antipsychotics,Spain,2016
MF 016871,Dermatological Agents,Spain,2003
MF 027045,Blood Glucose Regulators,India,2013
MF 024416,Contraceptives,France,2011
MF 019176,,India,2006
MF 032616,,China,2019
MF 036286,,Austria,2021
MF 031848,,India,2017
MF 024917,,Taiwan,2011
MF 030373,Otic Agents,France,2016
MF 030373,Antibacterials,France,2016
MF 031349,,India,2017
MF 036074,Anesthetics,China,2021
MF 028066,Ophthalmic Agents,China,2014
MF 028066,Anesthetics,China,2014
MF 035222,Antibacterials,China,2020
MF 025535,,India,2011
MF 015511,Analgesics,China,2001
MF 015839,Respiratory Tract/Pulmonary Agents,China,2002
MF 015839,Gastrointestinal Agents,China,2002
MF 025800,,India,2012
MF 026142,,Italy,2012
MF 017547,Dermatological Agents,China,2004
MF 017547,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2004
MF 031630,Dermatological Agents,China,2017
MF 016589,Gastrointestinal Agents,Italy,2003
MF 021981,,Italy,2008
MF 027497,,Italy,2013
MF 029821,Antineoplastics,Taiwan,2015
MF 022280,,Taiwan,2008
MF 022758,,Italy,2009
MF 022475,Gastrointestinal Agents,India,2009
MF 022548,,India,2009
MF 019794,Antibacterials,India,2006
MF 024487,Antibacterials,Spain,2010
MF 035305,Gastrointestinal Agents,India,2021
MF 019310,Gastrointestinal Agents,Spain,2006
MF 019537,Gastrointestinal Agents,Taiwan,2006
MF 017872,Analgesics,India,2004
MF 033659,Blood Products and Modifiers,China,2019
MF 028208,,India,2014
MF 031841,Blood Glucose Regulators,India,2017
MF 020824,Bipolar Agents,India,2007
MF 023175,Bipolar Agents,France,2009
MF 025670,Analgesics,India,2012
MF 029165,Contraceptives,Italy,2015
MF 034877,,United States,2020
MF 036120,Ophthalmic Agents,China,2021
MF 036120,Anesthetics,China,2021
MF 030820,Otic Agents,India,2016
MF 029685,Dermatological Agents,China,2015
MF 029685,Antibacterials,China,2015
MF 032243,Otic Agents,China,2017
MF 034403,,India,2020
MF 030789,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Jordan,2016
MF 018956,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2006
MF 029480,,China,2015
MF 022191,Inflammatory Bowel Disease Agents,Denmark,2010
MF 032148,,India,2017
MF 023428,Contraceptives,Italy,2010
MF 020334,,Italy,2007
MF 036262,,India,2021
MF 017375,Antibacterials,India,2004
MF 029997,"Hormonal Agents, Suppressant (Thyroid)",India,2015
MF 036643,"Hormonal Agents, Suppressant (Thyroid)",India,2021
MF 035988,,Denmark,2021
MF 025809,Anti-addiction/Substance Abuse Treatment Agents,India,2012
MF 022625,Anti-addiction/Substance Abuse Treatment Agents,Italy,2009
MF 024921,,India,2011
MF 022695,Ophthalmic Agents,India,2009
MF 022390,Ophthalmic Agents,China,2008
MF 024956,Dermatological Agents,Malaysia,2011
MF 028530,Analgesics,China,2014
MF 023963,Respiratory Tract/Pulmonary Agents,India,2010
MF 033086,Blood Products and Modifiers,India,2018
MF 036336,Blood Products and Modifiers,India,2021
MF 018967,Cardiovascular Agents,India,2005
MF 024178,Cardiovascular Agents,India,2010
MF 025798,Dermatological Agents,India,2012
MF 025798,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2012
MF 035853,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2021
MF 035232,Dermatological Agents,China,2020
MF 024486,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Malaysia,2010
MF 023118,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2009
MF 028962,,Israel,2015
MF 017600,,India,2004
MF 032976,,China,2018
MF 030651,Antiemetics,United Kingdom,2016
MF 022859,,Republic Of Korea,2010
MF 015996,Antibacterials,India,2002
MF 031800,Blood Glucose Regulators,China,2017
MF 023509,,India,2010
MF 035365,Respiratory Tract/Pulmonary Agents,India,2020
MF 033558,,China,2019
MF 032015,,India,2017
MF 032696,,India,2018
MF 032654,,India,2018
MF 033195,Antineoplastics,India,2018
MF 014847,,Germany,2000
MF 027224,Antidepressants,India,2013
MF 034461,Electrolytes/Minerals/Metals/Vitamins,India,2019
MF 034461,Genitourinary Agents,India,2019
MF 030833,Electrolytes/Minerals/Metals/Vitamins,India,2016
MF 030833,Genitourinary Agents,India,2016
MF 020023,Antibacterials,India,2006
MF 032113,Electrolytes/Minerals/Metals/Vitamins,India,2017
MF 031395,Electrolytes/Minerals/Metals/Vitamins,India,2017
MF 029019,Electrolytes/Minerals/Metals/Vitamins,Republic Of Korea,2015
MF 022857,,China,2009
MF 029693,,China,2016
MF 027255,,India,2013
MF 033579,Analgesics,India,2019
MF 027501,Cardiovascular Agents,India,2013
MF 031971,Analgesics,India,2017
MF 025582,Analgesics,China,2011
MF 031101,Analgesics,China,2016
MF 034070,Analgesics,India,2019
MF 019652,Analgesics,Italy,2006
MF 019726,,China,2006
MF 033871,,India,2019
MF 015024,Blood Products and Modifiers,India,2000
MF 034759,Antibacterials,India,2020
MF 029633,Blood Products and Modifiers,India,2015
MF 021498,Analgesics,India,2008
MF 028310,Antibacterials,Taiwan,2014
MF 028310,Skeletal Muscle Relaxants,Taiwan,2014
MF 022471,Skeletal Muscle Relaxants,India,2009
MF 022471,Blood Products and Modifiers,India,2009
MF 022471,Electrolytes/Minerals/Metals/Vitamins,India,2009
MF 034673,,China,2020
MF 023199,,India,2009
MF 024641,,India,2011
MF 036069,,China,2021
MF 021939,,Germany,2008
MF 027634,,India,2013
MF 015052,Antidepressants,India,2000
MF 015052,Antipsychotics,India,2000
MF 029444,Antipsychotics,Canada,2015
MF 022923,Antibacterials,Italy,2009
MF 016423,Ophthalmic Agents,Italy,2003
MF 016334,Dermatological Agents,Portugal,2002
MF 022980,Dermatological Agents,India,2009
MF 032783,Dermatological Agents,China,2018
MF 029454,Dermatological Agents,China,2015
MF 023427,Ophthalmic Agents,Italy,2010
MF 021841,Dermatological Agents,Spain,2008
MF 023333,Blood Glucose Regulators,India,2010
MF 028945,Blood Glucose Regulators,Austria,2014
MF 028283,,Germany,2014
MF 018877,Analgesics,China,2005
MF 024580,Analgesics,China,2011
MF 016404,Contraceptives,Hungary,2003
MF 030175,,India,2016
MF 026502,,Taiwan,2012
MF 025461,Cardiovascular Agents,Taiwan,2011
MF 025207,Blood Glucose Regulators,China,2011
MF 021853,Sleep Disorder Agents,India,2008
MF 036126,,China,2021
MF 035042,Respiratory Tract/Pulmonary Agents,China,2020
MF 019506,Otic Agents,China,2006
MF 028987,Antiemetics,China,2014
MF 018360,Cardiovascular Agents,India,2007
MF 024549,Cardiovascular Agents,China,2010
MF 034584,,India,2020
MF 015174,Blood Glucose Regulators,Finland,2000
MF 019177,Analgesics,Sweden,2006
MF 033285,Gastrointestinal Agents,Brazil,2018
MF 033285,Ophthalmic Agents,Brazil,2018
MF 033285,Electrolytes/Minerals/Metals/Vitamins,Brazil,2018
MF 034900,Anesthetics,China,2020
MF 032369,Ophthalmic Agents,India,2017
MF 023479,Antineoplastics,India,2010
MF 029210,Dental and Oral Agents,United States,2015
MF 033036,,China,2018
MF 035384,Anesthetics,India,2020
MF 021213,Respiratory Tract/Pulmonary Agents,India,2007
MF 015102,Anti-addiction/Substance Abuse Treatment Agents,Netherlands,2000
MF 015102,Antidepressants,Netherlands,2000
MF 021590,Anti-addiction/Substance Abuse Treatment Agents,United Kingdom,2008
MF 021590,Antidepressants,United Kingdom,2008
MF 023142,Analgesics,France,2009
MF 020745,Anti-addiction/Substance Abuse Treatment Agents,United Kingdom,2007
MF 031957,Respiratory Tract/Pulmonary Agents,India,2017
MF 031463,Respiratory Tract/Pulmonary Agents,India,2017
MF 018319,Ophthalmic Agents,Taiwan,2005
MF 016918,Analgesics,India,2003
MF 016918,Cardiovascular Agents,India,2003
MF 016918,Antiemetics,India,2003
MF 032438,Respiratory Tract/Pulmonary Agents,India,2018
MF 018823,Analgesics,United States,2005
MF 017972,,China,2005
MF 027564,,Taiwan,2013
MF 034581,Ophthalmic Agents,India,2020
MF 031754,Ophthalmic Agents,Malaysia,2017
MF 035516,,India,2021
MF 030832,Antiemetics,United Kingdom,2016
MF 030832,Gastrointestinal Agents,United Kingdom,2016
MF 021048,,United Kingdom,2007
MF 021048,Cardiovascular Agents,United Kingdom,2007
MF 034148,,India,2019
MF 034148,Antiemetics,India,2019
MF 019548,Cardiovascular Agents,India,2006
MF 019635,Antidepressants,India,2006
MF 033810,,China,2019
MF 033572,,India,2019
MF 033704,,India,2019
MF 033451,,India,2018
MF 022233,Antidementia Agents,India,2008
MF 024082,Antidementia Agents,Israel,2010
MF 021484,Blood Glucose Regulators,India,2008
MF 021521,,India,2008
MF 027734,,China,2013
MF 031009,Anticonvulsants,India,2016
MF 026885,,India,2013
MF 029508,,China,2015
MF 022624,,Spain,2009
MF 026844,,China,2013
MF 033053,,India,2018
MF 029868,,India,2015
MF 027510,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2013
MF 032990,,Spain,2018
MF 026544,Antiemetics,China,2012
MF 025935,Antibacterials,India,2012
MF 026551,Antibacterials,India,2012
MF 017525,,India,2004
MF 019799,,India,2006
MF 027759,,United States,2013
MF 016760,,United States,2003
MF 021713,,China,2008
MF 036500,,India,2021
MF 027599,Sleep Disorder Agents,United States,2013
MF 026550,Antineoplastics,India,2012
MF 032446,,India,2018
MF 023619,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2010
MF 015771,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2001
MF 015822,Antifungals,Israel,2002
MF 033021,Immunological Agents,India,2018
MF 026405,Immunological Agents,China,2012
MF 036062,,China,2021
MF 016305,Cardiovascular Agents,China,2002
MF 034161,,China,2019
MF 035512,,India,2020
MF 031581,Antineoplastics,China,2017
MF 023510,,Denmark,2010
MF 027042,,India,2013
MF 026631,,Canada,2013
MF 032393,,India,2017
MF 033723,,India,2019
MF 034113,,India,2019
MF 033990,,Taiwan,2019
MF 026766,Antiparasitics,China,2012
MF 034978,,India,2020
MF 034217,Antibacterials,Portugal,2019
MF 027508,Respiratory Tract/Pulmonary Agents,China,2013
MF 027609,,India,2013
MF 024630,,India,2011
MF 015866,Genitourinary Agents,France,2002
MF 031561,Gastrointestinal Agents,United States,2017
